🍎小苹果央视TV,#genre#
CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV1,http://221.7.49.226:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV2,http://115.190.247.176:1111/631780532
CCTV2,http://bobohome.ignorelist.com:20247/migu?id=631780532.m3u8
CCTV3,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV3,http://bobohome.ignorelist.com:20247/migu?id=624878271.m3u8
CCTV3,http://221.7.49.226:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://bobohome.ignorelist.com:20247/migu?id=631780421.m3u8
CCTV5,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV6,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV7,http://221.7.49.226:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV8,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV9,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV10,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV11,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV12,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV13,http://183.129.255.66:8480/hls/14/index.m3u8
CCTV14,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV15,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV16,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV17,http://183.129.255.66:8480/hls/18/index.m3u8
CCTV17,http://bobohome.ignorelist.com:20247/migu?id=673168256.m3u8
CCTV4欧洲,http://bobohome.ignorelist.com:20247/migu?id=608807419.m3u8
CCTV4美洲,http://bobohome.ignorelist.com:20247/migu?id=608807416.m3u8
CGTN外语纪录,http://bobohome.ignorelist.com:20247/migu?id=609006487.m3u8
CGTN阿拉伯语,http://bobohome.ignorelist.com:20247/migu?id=609154345.m3u8
CGTN西班牙语,http://bobohome.ignorelist.com:20247/migu?id=609006450.m3u8
CGTN法语,http://bobohome.ignorelist.com:20247/migu?id=609006476.m3u8
CGTN俄语,http://bobohome.ignorelist.com:20247/migu?id=609006446.m3u8
老故事,http://bobohome.ignorelist.com:20247/migu?id=884121956.m3u8
发现之旅,http://bobohome.ignorelist.com:20247/migu?id=624878970.m3u8
中学生,http://bobohome.ignorelist.com:20247/migu?id=708869532.m3u8
CGTN,http://bobohome.ignorelist.com:20247/migu?id=609017205.m3u8
赛事最经典,http://bobohome.ignorelist.com:20247/migu?id=646596895.m3u8
体坛名栏汇,http://bobohome.ignorelist.com:20247/migu?id=629943305.m3u8
四海钓鱼,http://bobohome.ignorelist.com:20247/migu?id=637444975.m3u8
陕西体育休闲频道,http://bobohome.ignorelist.com:20247/migu?id=956909356.m3u8
24小时城市联赛轮播台,http://bobohome.ignorelist.com:20247/migu?id=915512915.m3u8
武术世界,http://bobohome.ignorelist.com:20247/migu?id=958475359.m3u8
快乐垂钓,http://bobohome.ignorelist.com:20247/migu?id=961930263.m3u8


🍎卫视频道,#genre#,DE=3
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江卫视,http://60.10.139.113:8801/hls/18/index.m3u8
浙江卫视,http://36.110.54.118:866/hls/29/index.m3u8
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8
北京卫视,http://36.110.54.118:866/hls/51/index.m3u8
深圳卫视,http://36.110.54.118:866/hls/26/index.m3u8
东方卫视,http://60.10.139.113:8801/hls/22/index.m3u8
东方卫视,http://115.190.247.176:1111/651632648
江苏卫视,http://60.10.139.113:8801/hls/19/index.m3u8
江苏卫视,http://115.190.247.176:1111/623899368
江苏卫视,http://36.110.54.118:866/hls/27/index.m3u8
广东卫视,http://36.110.54.118:866/hls/32/index.m3u8
广东卫视,http://115.190.247.176:1111/608831231
广东卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd
湖南卫视,http://60.10.139.113:8801/hls/17/index.m3u8
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
重庆卫视,http://60.10.139.113:8801/hls/31/index.m3u8
重庆卫视,http://115.190.247.176:1111/738910914
辽宁卫视,http://60.10.139.113:8801/hls/28/index.m3u8
辽宁卫视,http://115.190.247.176:1111/630291707
辽宁卫视,http://58.17.89.7:8081/hls/49/index.m3u8
辽宁卫视,http://112.27.235.94:8000/hls/24/index.m3u8
河北卫视,http://58.17.89.7:8081/hls/43/index.m3u8
江西卫视,http://60.10.139.113:8801/hls/37/index.m3u8
河南卫视,http://60.10.139.113:8801/hls/32/index.m3u8
河南卫视,http://58.17.89.7:8081/hls/57/index.m3u8
陕西卫视,http://207.56.13.146:81/cdnlive/snws.m3u8
陕西卫视,http://115.190.247.176:1111/738910838
湖北卫视,http://60.10.139.113:8801/hls/29/index.m3u8
湖北卫视,http://115.190.247.176:1111/947472496
吉林卫视,http://60.10.139.113:8801/hls/38/index.m3u8
青海卫视,http://60.10.139.113:8801/hls/56/index.m3u8
东南卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/dongnanws/51/20230724/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=600717&netType=4&sid=5910022182&pid=2028597139&timestamp=20260530065614&Channel_ID=0116_2600037000-99000-200300220107023&ProgramID=849116810&ParentNodeID=-99&assertID=5910022182&client_ip=125.211.195.118&SecurityKey=20260530065614&promotionId=&mvid=5900006229&mcid=500020&playurlVersion=ZQ-A1-9.5.1.2-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=6d2e39c208849c4a5d33348d78133c1c
东南卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/dongnanws/51/20230724/01.m3u8?&HlsSubType=&encrypt=
东南卫视,http://60.10.139.113:8801/hls/21/index.m3u8
东南卫视,http://115.190.247.176:1111/849116810



黑龙江卫视,http://60.10.139.113:8801/hls/27/index.m3u8
山东卫视,http://60.10.139.113:8801/hls/25/index.m3u8
山西卫视,http://dodge.lwfz.fun:8800/udp/239.16.20.90:10900
山西卫视,http://119.39.9.8:9901/tsfile/live/0118_1.m3u8
山西卫视,http://dodge.lwfz.fun:8800/udp/239.16.10.24:2000
河北卫视,http://123.121.3.197:4000/rtp/239.3.1.148:8072
安徽卫视,http://60.10.139.113:8801/hls/99/index.m3u8

云南卫视,http://60.10.139.113:8801/hls/51/index.m3u8
贵州卫视,http://60.10.139.113:8801/hls/36/index.m3u8
四川卫视,http://60.10.139.113:8801/hls/30/index.m3u8
广西卫视,http://60.10.139.113:8801/hls/52/index.m3u8
内蒙古卫视,http://60.10.139.113:8801/hls/55/index.m3u8

东南卫视,http://58.17.89.7:8081/hls/47/index.m3u8
江西卫视,http://58.17.89.7:8081/hls/50/index.m3u8
湖北卫视,http://36.110.54.118:866/hls/30/index.m3u8
山东卫视,http://36.110.54.118:866/hls/33/index.m3u8
湖北卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd
甘肃卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd
海峡卫视,http://115.190.247.176:1111/849119120
海南卫视,http://115.190.247.176:1111/947472502
中国农林卫视,http://115.190.247.176:1111/956904896
兵团卫视,http://115.190.247.176:1111/956923145
大湾区卫视,http://115.190.247.176:1111/608917627
三沙卫视,http://115.190.247.176:1111/961023778
宁夏卫视,http://60.10.139.113:8801/hls/57/index.m3u8
宁夏卫视,http://115.190.247.176:1111/738910535
贵州天元围棋,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gztywq
CETV-1高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cetv1hd
早教频道,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=zqjy

🍎港澳臺频道,#genre#
凤凰中文台,http://120.234.44.98:18180/TV00000000000000000008@HHZT
凤凰资讯台,http://120.234.44.98:18180/TV00000000000000000009@HHZT
凤凰香港台,http://120.234.44.98:18180/TV00000000000000000024@HHZT
无线新闻台,http://120.234.44.98:18180/TV00000000000000000034@HHZT
明珠台,http://120.234.44.98:18180/TV00000000000000000035@HHZT
翡翠台,http://120.234.44.98:18180/TV00000000000000000032@HHZT
viutv,http://120.234.44.98:18180/TV00000000000000000037@HHZT
